@relation 'housing_train-weka.filters.unsupervised.attribute.Remove-R1-2,16-weka.filters.unsupervised.attribute.NominalToBinary-R6-11-weka.filters.unsupervised.attribute.NumericToBinary-R6-11-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.attribute.NumericTransform-R4,5,15,16,17,18-Cjava.lang.Math-Mfloor-weka.filters.supervised.instance.SpreadSubsample-M3.0-X0.0-S1-weka.filters.unsupervised.instance.Randomize-S42'

@attribute rent numeric
@attribute type {apartment,townhouse,house,duplex,manufactured,condo,loft,flat,cottage/cabin,in-law,land}
@attribute sqfeet numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed {0,1}
@attribute dogs_allowed {0,1}
@attribute smoking_allowed {0,1}
@attribute wheelchair_access {0,1}
@attribute electric_vehicle_charge {0,1}
@attribute comes_furnished {0,1}
@attribute laundry_options {'laundry in bldg','w/d in unit','w/d hookups','laundry on site','no laundry on site'}
@attribute parking_options {'off-street parking','attached garage','detached garage',carport,'street parking','valet parking','no parking'}
@attribute price_per_sqft numeric
@attribute pet_friendly_score numeric
@attribute accessibility_score numeric
@attribute total_rooms numeric
@attribute description numeric
@attribute demand {yes,no}

@data
749,apartment,720,1,1,1,1,1,0,0,0,'w/d in unit',?,1.040278,2,0,2,337,yes
1025,apartment,948,2,1,1,1,1,0,0,0,'laundry in bldg',carport,1.081224,2,0,3,134,yes
2335,apartment,1176,2,2,1,1,1,0,0,0,'laundry on site',carport,1.985544,2,0,4,240,yes
1850,house,1670,3,2,0,0,0,0,0,0,'w/d in unit','attached garage',1.107784,0,0,5,66,yes
890,apartment,1106,2,1,1,1,0,0,0,0,'laundry in bldg','off-street parking',0.804702,2,0,3,113,yes
895,apartment,630,1,1,0,0,1,0,0,0,'w/d in unit',?,1.420635,0,0,2,191,yes
825,apartment,1073,2,1,0,0,1,0,0,0,?,?,0.768872,0,0,3,69,yes
695,apartment,686,1,1,1,1,0,0,0,0,'w/d hookups','street parking',1.01312,2,0,2,147,yes
1095,apartment,1124,2,2,1,1,0,1,0,0,'w/d in unit',carport,0.974199,2,1,4,190,yes
1250,apartment,725,1,1,0,0,1,0,0,0,'w/d in unit',?,1.724138,0,0,2,250,yes
426.120145,house,1439.121271,5,2,0,1,1,0,0,0,'laundry in bldg','off-street parking',0.233778,2,0,7,130,no
1400,house,1466,3,2,0,0,1,0,0,0,?,?,0.95498,0,0,5,200,yes
846.945767,apartment,1212.059666,4,0,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.700321,0,0,6,111,no
1800,apartment,1041,2,1,1,1,1,0,0,0,'w/d in unit','off-street parking',1.729107,2,0,3,231,yes
880,house,1095,3,1,0,0,1,0,0,0,?,?,0.803653,0,0,4,76,yes
1923.409279,house,2255.148697,4,2,1,1,1,0,0,0,'w/d hookups','attached garage',0.847397,2,0,6,54,no
2221,apartment,1010,2,2,1,1,1,0,0,0,'w/d in unit',carport,2.19901,2,0,4,74,yes
1535,apartment,951,2,2,1,1,1,0,0,0,'w/d in unit',carport,1.61409,2,0,4,471,yes
720,apartment,780,1,1,0,0,1,0,0,0,?,?,0.923077,0,0,2,67,yes
820,apartment,960,2,2,1,1,1,0,0,0,'w/d in unit',?,0.854167,2,0,4,169,yes
1223.675261,house,2096.016144,4,2,1,1,1,0,0,0,'w/d hookups','attached garage',0.585639,2,0,6,134,no
1150,apartment,627,1,1,1,1,0,0,0,0,'laundry on site',carport,1.834131,2,0,2,157,yes
1800,townhouse,1624,4,3,0,0,0,0,0,0,'w/d in unit','attached garage',1.108374,0,0,7,70,no
1050,house,1261,5,2,1,1,1,0,0,0,?,?,0.832672,2,0,7,47,no
2675,apartment,900,1,1,1,0,1,0,1,0,'laundry in bldg','detached garage',2.972222,1,1,2,142,yes
790,apartment,871,1,1,1,1,1,0,0,0,'w/d hookups',?,0.907003,2,0,2,135,yes
499,apartment,798,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',0.625313,2,0,2,71,yes
1344.505907,house,2091.987015,4,1,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.659168,1,0,5,250,no
750,duplex,900,2,1,0,0,0,0,0,0,'w/d hookups',?,0.833333,0,0,3,83,yes
1450,condo,905,2,1,0,0,0,0,0,0,'w/d in unit','off-street parking',1.60221,0,0,3,246,yes
1400,apartment,910,2,2,0,0,1,0,0,0,?,?,1.538462,0,0,4,104,yes
1000,apartment,573,1,1,1,1,0,1,0,0,'w/d in unit','off-street parking',1.745201,2,1,2,198,yes
1600,apartment,650,1,1,1,1,1,0,0,0,'laundry on site',?,2.461538,2,0,2,61,yes
1190,apartment,625,1,1,0,0,1,0,0,0,'laundry on site',carport,1.904,0,0,2,68,yes
6500,house,4555,4,5,0,0,0,0,0,0,'w/d in unit','attached garage',1.427003,2,0,9,193,no
2195,apartment,750,1,1,0,0,1,0,0,0,'laundry in bldg','off-street parking',2.926667,0,0,2,149,yes
674,apartment,1045,2,2,1,1,1,0,0,0,?,?,0.644976,2,0,4,428,yes
2505,apartment,1051,1,1,1,1,1,0,0,0,'w/d in unit','detached garage',2.383444,2,0,2,159,yes
1699,house,1500,3,2,1,1,1,0,0,0,?,?,1.132667,2,0,5,102,yes
529,apartment,470,1,1,1,1,1,0,0,0,'laundry on site',carport,1.125532,2,0,2,137,yes
900,house,1300,3,2,1,1,1,0,0,1,?,?,0.692308,2,0,5,92,yes
2799,apartment,984,2,2,0,0,1,1,1,0,'w/d in unit','attached garage',2.844512,0,2,4,160,yes
659,apartment,890,2,1,1,1,1,0,0,0,'laundry on site',?,0.740449,2,0,3,118,yes
1250,apartment,640,1,1,1,1,1,0,0,0,'laundry on site',carport,1.953125,2,0,2,218,yes
1995,apartment,1066,2,2,1,1,1,0,0,0,'w/d in unit','detached garage',1.871482,2,0,4,477,yes
951,apartment,1160,2,2,1,1,1,0,1,0,'w/d in unit','off-street parking',0.819828,2,1,4,413,yes
1831,condo,750,2,1,0,0,1,0,0,0,'w/d hookups',carport,2.441333,0,0,3,63,yes
930,apartment,1057,2,2,0,0,1,0,0,0,'w/d in unit',?,0.879849,0,0,4,101,yes
1530,apartment,1107,3,2,1,1,1,0,0,0,?,?,1.382114,2,0,5,265,yes
1798.737159,townhouse,1623.675265,4,2,0,0,0,0,0,0,'w/d in unit','attached garage',1.108779,0,0,6,69,no
476,apartment,418,0,1,0,0,1,0,0,0,?,?,1.138756,0,0,1,222,yes
993.83862,house,1821.714817,4,2,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.53795,2,0,6,113,no
840,apartment,733,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',1.145975,2,0,2,127,yes
2242.74847,house,2796.859938,4,2,0,0,0,0,0,0,'w/d hookups','attached garage',0.787748,1,0,6,122,no
634,apartment,1845,4,4,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.343631,0,0,8,115,no
849,apartment,857,1,1,1,1,1,0,0,0,'laundry on site',carport,0.990665,2,0,2,299,yes
591.763605,apartment,1330,4,4,0,0,1,0,0,0,'w/d in unit','off-street parking',0.447068,0,0,8,329,no
1915,apartment,1040,2,2,1,1,1,0,1,0,'w/d in unit',carport,1.841346,2,1,4,233,yes
550,apartment,750,2,1,1,1,0,0,0,0,'w/d in unit','off-street parking',0.733333,2,0,3,194,yes
3095,apartment,1281,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',2.416081,2,0,4,253,yes
2145,apartment,923,2,1,1,1,1,0,0,0,'w/d in unit',carport,2.323944,2,0,3,333,yes
825,apartment,550,1,1,0,0,0,0,0,0,'laundry in bldg','off-street parking',1.5,0,0,2,135,yes
1130,apartment,811,1,1,1,1,1,0,0,0,'w/d in unit',?,1.393342,2,0,2,64,yes
2098.744775,house,3956.746141,5,3,0,0,0,0,0,0,'w/d in unit','attached garage',0.536629,0,0,8,108,no
1525,apartment,1300,3,2,1,1,1,0,0,0,'w/d hookups','attached garage',1.173077,2,0,5,222,yes
325,apartment,300,1,1,0,0,1,0,0,1,'laundry in bldg','off-street parking',1.083333,0,0,2,123,yes
2201.347258,house,2245.034729,4,3,0,0,0,0,0,0,'laundry in bldg','attached garage',1.000085,0,0,7,119,no
1200,apartment,1100,2,2,1,1,1,1,0,0,'w/d in unit','off-street parking',1.090909,2,1,4,75,yes
1449.678731,house,1209.195225,4,2,1,1,0,0,0,0,'laundry in bldg','off-street parking',1.170702,2,0,6,46,no
1500,house,1450,3,1,0,0,0,0,0,1,'w/d in unit','attached garage',1.034483,0,0,4,50,yes
2802.451166,house,2543.565465,4,2,0,0,1,0,0,0,'w/d hookups','attached garage',1.114681,0,0,6,91,no
605.896277,apartment,1416.780855,4,2,1,1,0,0,0,0,'w/d in unit','off-street parking',0.41562,0,0,6,78,no
799,apartment,1000,2,1,1,1,1,0,0,0,'w/d in unit','off-street parking',0.799,2,0,3,97,yes
1156.528987,house,1561.320383,4,1,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.737252,0,0,6,148,no
755,apartment,950,2,2,1,1,0,1,0,0,'w/d in unit',?,0.794737,2,1,4,128,yes
1025,apartment,1199.917709,4,2,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.865819,2,0,6,37,no
880,apartment,800,1,1,0,0,1,0,0,0,'laundry on site',carport,1.1,0,0,2,343,yes
1900,condo,1232,2,2,0,0,0,0,0,0,'w/d in unit','attached garage',1.542208,0,0,4,95,yes
1876.728335,house,1725.578266,4,2,0,1,0,0,0,0,'w/d in unit','attached garage',1.062573,1,0,6,92,no
1836.202443,townhouse,1519.88292,2,2,0,0,1,0,0,0,'w/d in unit','attached garage',1.199871,0,0,5,134,no
1290,apartment,1068,2,2,1,1,1,0,0,0,'w/d in unit',?,1.207865,2,0,4,324,yes
2510.032323,house,3274.254144,5,3,0,0,0,0,0,0,'w/d in unit','attached garage',0.784577,0,0,8,121,no
658,apartment,667,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',0.986507,2,0,2,1211,yes
1175,apartment,1447,3,2,1,1,0,0,0,0,'w/d in unit','detached garage',0.812025,2,0,5,179,yes
965,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',0.877273,2,0,4,128,yes
615,apartment,450,1,1,1,1,0,0,0,0,'w/d hookups',?,1.366667,2,0,2,226,yes
2150,house,1600,3,2,1,1,1,0,0,0,'w/d in unit','off-street parking',1.34375,2,0,5,38,yes
2407.097402,house,2894.314089,4,3,0,0,0,0,0,0,'w/d in unit','attached garage',0.829321,0,0,7,232,no
1200,apartment,880,2,1,1,0,1,0,0,0,'laundry on site','off-street parking',1.363636,1,0,3,88,yes
1279.096095,house,1160.857947,4,2,1,1,1,0,0,0,'laundry in bldg','off-street parking',1.10896,2,0,6,62,no
840.047607,house,1934.129493,4,2,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.418561,2,0,6,103,no
975,apartment,849,2,1,1,1,1,0,0,0,'laundry in bldg',carport,1.14841,2,0,3,134,yes
1575,duplex,1250,3,1,0,0,0,0,0,0,'w/d in unit','attached garage',1.26,0,0,4,68,yes
1086,apartment,1128,2,0,1,1,1,0,0,0,?,?,0.962766,2,0,2,257,yes
853,apartment,917,2,2,1,1,0,1,0,0,'w/d hookups','off-street parking',0.930207,2,1,4,73,yes
920,apartment,1205,3,2,1,1,0,0,0,0,'w/d hookups','street parking',0.763485,2,0,5,177,yes
1265,apartment,988,2,2,0,0,1,0,0,0,'w/d in unit',carport,1.280364,0,0,4,216,yes
920,apartment,960,2,2,0,0,0,0,0,0,'w/d in unit','detached garage',0.958333,0,0,4,121,yes
1053,townhouse,900,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',1.17,2,0,3,154,yes
1015,apartment,1138,2,2,1,1,1,0,0,0,'w/d in unit','detached garage',0.891916,2,0,4,129,yes
840,apartment,733,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',1.145975,2,0,2,122,yes
1249,apartment,1409,2,2,1,1,1,0,0,0,'w/d in unit',carport,0.886444,2,0,4,295,yes
1250,house,1266,3,2,0,0,1,0,0,0,?,?,0.987362,0,0,5,222,yes
1800,house,1609,3,2,0,1,0,0,0,0,'w/d in unit','attached garage',1.118707,1,0,5,62,yes
1378,apartment,1249,3,2,1,1,1,0,0,0,'w/d in unit',?,1.103283,2,0,5,238,yes
1384.747822,house,1681.376011,4,2,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.826932,1,0,6,243,no
1209,apartment,751,1,1,1,1,0,0,0,0,'w/d in unit','off-street parking',1.609854,2,0,2,343,yes
1350,apartment,818,1,1,0,0,0,0,0,0,'w/d in unit','attached garage',1.650367,0,0,2,319,yes
1435,apartment,975,2,1,0,0,1,0,0,0,?,?,1.471795,0,0,3,340,yes
900,apartment,840,2,1,1,1,1,0,0,0,'w/d in unit',carport,1.071429,2,0,3,213,yes
1025,house,1137,5,2,1,1,1,0,0,0,?,?,0.901495,2,0,7,43,no
1595,condo,1158,2,2,1,1,1,0,0,0,'w/d in unit','attached garage',1.377375,2,0,4,143,yes
585,apartment,650,2,1,1,1,0,0,0,0,'laundry in bldg','off-street parking',0.9,2,0,3,72,yes
749,apartment,869,1,1,1,1,0,1,0,0,'w/d in unit','off-street parking',0.86191,2,1,2,235,yes
1700,house,1665.918771,4,2,0,0,1,0,0,0,'w/d hookups','attached garage',1.020297,0,0,6,58,no
690,apartment,567,1,1,1,1,1,1,0,0,'laundry on site','off-street parking',1.216931,2,1,2,170,yes
815,apartment,900,2,1,0,0,0,0,0,0,'w/d in unit','detached garage',0.905556,0,0,3,152,yes
880,apartment,701,1,1,1,1,1,0,0,0,'w/d in unit',carport,1.25535,2,0,2,365,yes
954.233447,apartment,1256,4,2,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.760874,2,0,6,297,no
920,apartment,913,2,2,1,1,1,0,0,0,'w/d in unit',carport,1.007667,2,0,4,158,yes
2520,apartment,1179,2,2,0,0,1,0,0,0,?,?,2.137405,0,0,4,220,yes
6913,apartment,1688,2,2,1,1,0,1,0,0,'w/d in unit','attached garage',4.095379,2,1,4,155,yes
915,apartment,1050,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',0.871429,2,0,4,271,yes
1300,apartment,1908,3,2,1,1,1,1,0,0,'w/d in unit','attached garage',0.681342,2,1,5,319,yes
755,apartment,935,2,2,1,1,0,0,0,0,'w/d hookups','street parking',0.807487,2,0,4,180,yes
1201.909389,apartment,925,2,1,1,0,1,0,0,0,'laundry on site',carport,1.299362,1,0,3,169,yes
3828.794252,house,1839.188291,4,2,1,1,1,0,0,0,'w/d hookups','off-street parking',2.098241,1,0,6,169,no
1035,apartment,1050,2,1,0,0,1,0,0,0,'laundry on site',carport,0.985714,0,0,3,323,yes
1320,apartment,932,2,2,0,0,1,0,0,0,'w/d in unit',?,1.416309,0,0,4,248,yes
1084,apartment,708,2,1,0,0,0,0,0,0,'w/d in unit',?,1.531073,0,0,3,208,yes
2760,apartment,965,2,2,1,1,0,0,0,0,'laundry in bldg',?,2.860104,2,0,4,57,yes
770,apartment,652,2,1,1,1,1,0,0,0,?,?,1.180982,2,0,3,302,yes
1025,apartment,900,2,2,1,1,1,0,0,0,'w/d in unit',carport,1.138889,2,0,4,129,yes
1815,apartment,1018,2,2,1,1,1,0,0,0,'w/d in unit','attached garage',1.782908,2,0,4,352,yes
595,apartment,645,2,1,0,0,1,0,0,0,'laundry in bldg','off-street parking',0.922481,0,0,3,114,yes
1250,house,1600,4,2,1,1,0,0,0,0,'w/d hookups','attached garage',0.78125,2,0,6,118,no
1457,apartment,840,1,1,1,1,1,0,0,0,'laundry on site',?,1.734524,2,0,2,125,yes
1126.512899,apartment,1136.135389,4,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',0.998558,1,0,6,56,no
1025,apartment,1406,3,2,1,1,0,1,0,0,'laundry in bldg','off-street parking',0.729018,2,1,5,101,yes
