@relation 'housing_train-weka.filters.unsupervised.attribute.Remove-R1-2,16-weka.filters.unsupervised.attribute.NominalToBinary-R6-11-weka.filters.unsupervised.attribute.NumericToBinary-R6-11-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.attribute.NumericTransform-R4,5,15,16,17,18-Cjava.lang.Math-Mfloor-weka.filters.supervised.instance.SpreadSubsample-M3.0-X0.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-3,12-14'

@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed {0,1}
@attribute dogs_allowed {0,1}
@attribute smoking_allowed {0,1}
@attribute wheelchair_access {0,1}
@attribute electric_vehicle_charge {0,1}
@attribute comes_furnished {0,1}
@attribute pet_friendly_score numeric
@attribute accessibility_score numeric
@attribute total_rooms numeric
@attribute description numeric
@attribute demand {yes,no}

@data
1,1,1,1,1,0,0,0,2,0,2,337,yes
2,1,1,1,1,0,0,0,2,0,3,134,yes
2,2,1,1,1,0,0,0,2,0,4,240,yes
3,2,0,0,0,0,0,0,0,0,5,66,yes
2,1,1,1,0,0,0,0,2,0,3,113,yes
1,1,0,0,1,0,0,0,0,0,2,191,yes
2,1,0,0,1,0,0,0,0,0,3,69,yes
1,1,1,1,0,0,0,0,2,0,2,147,yes
2,2,1,1,0,1,0,0,2,1,4,190,yes
1,1,0,0,1,0,0,0,0,0,2,250,yes
5,2,0,1,1,0,0,0,2,0,7,130,no
3,2,0,0,1,0,0,0,0,0,5,200,yes
4,0,0,0,1,0,0,0,0,0,6,111,no
2,1,1,1,1,0,0,0,2,0,3,231,yes
3,1,0,0,1,0,0,0,0,0,4,76,yes
4,2,1,1,1,0,0,0,2,0,6,54,no
2,2,1,1,1,0,0,0,2,0,4,74,yes
2,2,1,1,1,0,0,0,2,0,4,471,yes
1,1,0,0,1,0,0,0,0,0,2,67,yes
2,2,1,1,1,0,0,0,2,0,4,169,yes
4,2,1,1,1,0,0,0,2,0,6,134,no
1,1,1,1,0,0,0,0,2,0,2,157,yes
4,3,0,0,0,0,0,0,0,0,7,70,no
5,2,1,1,1,0,0,0,2,0,7,47,no
1,1,1,0,1,0,1,0,1,1,2,142,yes
