@relation 'housing_train-weka.filters.unsupervised.attribute.Remove-R1-2,16-weka.filters.unsupervised.attribute.NominalToBinary-R6-11-weka.filters.unsupervised.attribute.NumericToBinary-R6-11-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.attribute.NumericTransform-R4,5,15,16,17,18-Cjava.lang.Math-Mfloor-weka.filters.supervised.instance.SpreadSubsample-M3.0-X0.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R4-13,15-18-weka.filters.unsupervised.attribute.NominalToBinary-R2-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute rent numeric
@attribute type=apartment numeric
@attribute type=townhouse numeric
@attribute type=house numeric
@attribute type=duplex numeric
@attribute type=manufactured numeric
@attribute type=condo numeric
@attribute type=loft numeric
@attribute type=flat numeric
@attribute type=cottage/cabin numeric
@attribute type=in-law numeric
@attribute type=land numeric
@attribute demand {yes,no}

@data
749,1,0,0,0,0,0,0,0,0,0,0,yes
1025,1,0,0,0,0,0,0,0,0,0,0,yes
2335,1,0,0,0,0,0,0,0,0,0,0,yes
1850,0,0,1,0,0,0,0,0,0,0,0,yes
890,1,0,0,0,0,0,0,0,0,0,0,yes
895,1,0,0,0,0,0,0,0,0,0,0,yes
825,1,0,0,0,0,0,0,0,0,0,0,yes
695,1,0,0,0,0,0,0,0,0,0,0,yes
1095,1,0,0,0,0,0,0,0,0,0,0,yes
1250,1,0,0,0,0,0,0,0,0,0,0,yes
426.120145,0,0,1,0,0,0,0,0,0,0,0,no
1400,0,0,1,0,0,0,0,0,0,0,0,yes
846.945767,1,0,0,0,0,0,0,0,0,0,0,no
1800,1,0,0,0,0,0,0,0,0,0,0,yes
880,0,0,1,0,0,0,0,0,0,0,0,yes
1923.409279,0,0,1,0,0,0,0,0,0,0,0,no
2221,1,0,0,0,0,0,0,0,0,0,0,yes
1535,1,0,0,0,0,0,0,0,0,0,0,yes
720,1,0,0,0,0,0,0,0,0,0,0,yes
820,1,0,0,0,0,0,0,0,0,0,0,yes
1223.675261,0,0,1,0,0,0,0,0,0,0,0,no
1150,1,0,0,0,0,0,0,0,0,0,0,yes
